volatility,spread,trend_strength,volume,proximity,time_horizon,p_normal,p_stressed,p_degraded,assumption_type,breached,phase,close_reason
0.0,0.009999999999990905,3.37022782755816e-14,733.737,1.0,30,1.0,0.0,0.0,trend_persistence,0,bootstrap,horizon_expired
0.0,0.009999999999990905,3.37022782755816e-14,733.737,0.0,30,1.0,0.0,0.0,volatility_control,0,bootstrap,horizon_expired
0.0,0.009999999999990905,3.37022782755816e-14,733.737,0.166667,30,1.0,0.0,0.0,spread_constraint,0,bootstrap,horizon_expired
2.7396709226251268e-05,0.010000000000005116,0.06315789473698175,623.364,0.7526,30,1.0,0.0,0.0,causal_edge|spread|price_return|4,0,bootstrap,horizon_expired
2.7396709226251268e-05,0.010000000000005116,0.02706766917273703,63.57488,0.7526,30,1.0,0.0,0.0,causal_edge|spread|price_return|4,0,bootstrap,horizon_expired
5.6294885996524214e-05,0.010000000000005116,0.018045112782027202,113.48912,0.7526,30,1.0,0.0,0.0,causal_edge|spread|price_return|4,0,bootstrap,horizon_expired
0.0,0.010000000000005116,4.410449239005414e-14,425.4528000000001,0.7526,30,1.0,0.0,0.0,causal_edge|spread|price_return|4,0,bootstrap,horizon_expired
3.975771615318128e-05,0.010000000000005116,0.009022556390853578,22.561359999999993,0.7526,30,1.0,0.0,0.0,causal_edge|spread|price_return|4,0,bootstrap,horizon_expired
2.7383270408837437e-05,0.009999999999990905,0.07218045112782315,17.41682,0.7526,30,1.0,0.0,0.0,causal_edge|spread|price_return|4,1,bootstrap,horizon_expired
2.7383270408837437e-05,0.009999999999990905,0.0270676691727686,113.946,0.972932,30,1.0,0.0,0.0,trend_persistence,0,bootstrap,horizon_expired
2.7383270408837437e-05,0.009999999999990905,0.0270676691727686,113.946,0.000391,30,1.0,0.0,0.0,volatility_control,0,bootstrap,horizon_expired
2.7383270408837437e-05,0.009999999999990905,0.0270676691727686,113.946,0.166667,30,1.0,0.0,0.0,spread_constraint,0,bootstrap,horizon_expired
0.0,0.010000000000005116,9.984711010823918e-14,161.83299999999997,0.8519,30,1.0,0.0,0.0,causal_edge|volatility|price_return|2,0,bootstrap,horizon_expired
3.981138016675781e-05,0.010000000000005116,0.04511278195466883,995.9917,0.8519,30,1.0,0.0,0.0,causal_edge|volatility|price_return|2,0,bootstrap,horizon_expired
0.0,0.010000000000005116,1.3431012698549606e-13,59.808180000000014,0.8519,30,0.0,0.0,1.0,causal_edge|volatility|price_return|2,0,bootstrap,horizon_expired
2.7369844769093926e-05,0.010000000000005116,0.06315789473697579,1125.77864,0.8519,30,1.0,0.0,0.0,causal_edge|volatility|price_return|2,0,bootstrap,horizon_expired
2.7369844769093926e-05,0.010000000000005116,0.07443609022586715,69.9117,0.8519,30,1.0,0.0,0.0,causal_edge|volatility|price_return|2,0,bootstrap,assumption_breach
3.9860291500629103e-05,0.010000000000005116,1.3389353382014555e-13,2200.4088,0.8519,30,1.0,0.0,0.0,causal_edge|volatility|price_return|2,0,bootstrap,horizon_expired
0.0,0.010000000000005116,2.7496018448631736e-13,4302.15556,0.8519,30,1.0,0.0,0.0,causal_edge|volatility|price_return|2,1,bootstrap,horizon_expired
2.73162736004811e-05,0.010000000000005116,0.06315789473678868,196.04135999999994,0.936842,30,0.0,1.0,0.0,trend_persistence,0,bootstrap,horizon_expired
2.73162736004811e-05,0.010000000000005116,0.06315789473678868,196.04135999999994,0.00039,30,0.0,1.0,0.0,volatility_control,0,bootstrap,horizon_expired
2.73162736004811e-05,0.010000000000005116,0.06315789473678868,196.04135999999994,0.166667,30,0.0,1.0,0.0,spread_constraint,0,bootstrap,horizon_expired
0.0,0.009999999999990905,1.4237410425027943e-13,851.7479999999999,1.0,30,0.0,0.0,1.0,trend_persistence,0,bootstrap,horizon_expired
0.0,0.009999999999990905,1.4237410425027943e-13,851.7479999999999,0.0,30,0.0,0.0,1.0,volatility_control,0,bootstrap,horizon_expired
0.0,0.009999999999990905,1.4237410425027943e-13,851.7479999999999,0.166667,30,0.0,0.0,1.0,spread_constraint,0,bootstrap,horizon_expired
0.0,0.010000000000005116,2.208412850310669e-13,582.51656,1.0,30,1.0,0.0,0.0,trend_persistence,0,bootstrap,horizon_expired
0.0,0.010000000000005116,2.208412850310669e-13,582.51656,0.0,30,1.0,0.0,0.0,volatility_control,0,bootstrap,horizon_expired
0.0,0.010000000000005116,2.208412850310669e-13,582.51656,0.166667,30,1.0,0.0,0.0,spread_constraint,0,bootstrap,horizon_expired
2.7437104939470543e-05,0.010000000000005116,0.014285714285977474,378.51655999999986,0.7484,30,1.0,0.0,0.0,causal_edge|volume|price_return|2,0,bootstrap,horizon_expired
3.988479226365392e-05,0.009999999999990905,0.015037593984842487,1.1139999999999999,0.7484,30,0.0,0.0,1.0,causal_edge|volume|price_return|2,0,bootstrap,horizon_expired
0.0,0.010000000000005116,3.4003298564969974e-13,422.4545000000001,0.7484,30,1.0,0.0,0.0,causal_edge|volume|price_return|2,0,trained,horizon_expired
0.0,0.010000000000005116,1.0484240688841372e-13,852.0394399999999,0.7484,30,1.0,0.0,0.0,causal_edge|volume|price_return|2,0,trained,horizon_expired
2.742362647223089e-05,0.010000000000005116,0.07218045112817029,24.1895,0.7484,30,1.0,0.0,0.0,causal_edge|volume|price_return|2,0,trained,horizon_expired
0.0,0.009999999999990905,2.2162583713758946e-13,181.75254,0.7484,30,1.0,0.0,0.0,causal_edge|volume|price_return|2,0,trained,horizon_expired
2.7413526308940924e-05,0.009999999999990905,0.06315789473652077,202.39949999999993,0.7484,30,1.0,0.0,0.0,causal_edge|volume|price_return|2,0,trained,horizon_expired
2.741016124096983e-05,0.010000000000005116,0.07218045112797654,40.081379999999996,0.7484,30,1.0,0.0,0.0,causal_edge|volume|price_return|2,0,trained,horizon_expired
0.0,0.010000000000005116,1.3431012698549606e-13,328.63446,0.7484,30,1.0,0.0,0.0,causal_edge|volume|price_return|2,0,trained,horizon_expired
2.7400070992070016e-05,0.010000000000005116,0.07443609022523866,1124.4909200000002,0.7484,30,1.0,0.0,0.0,causal_edge|volume|price_return|2,0,trained,horizon_expired
2.7389988169145596e-05,0.010000000000005116,0.01428571428549901,1763.5088,0.8571,30,1.0,0.0,0.0,causal_edge|session_sin|price_return|1,0,trained,horizon_expired
2.7400070992070016e-05,0.010000000000005116,0.06842105263130921,262.14372000000003,0.8571,30,0.0,0.0,1.0,causal_edge|session_sin|price_return|1,0,trained,horizon_expired
2.7400070992070016e-05,0.010000000000005116,0.04812030075213149,228.81512000000004,0.8571,30,1.0,0.0,0.0,causal_edge|session_sin|price_return|1,0,trained,horizon_expired
2.7400070992070016e-05,0.010000000000005116,0.03834586466170037,445.68045999999987,0.8571,30,0.0,0.0,1.0,causal_edge|session_sin|price_return|1,0,trained,horizon_expired
2.7389988169145596e-05,0.010000000000005116,0.06842105263170135,238.47944000000004,0.8571,30,0.0,0.0,1.0,causal_edge|session_sin|price_return|1,0,trained,horizon_expired
0.0,0.009999999999990905,2.1711219443130635e-13,380.68682,0.8571,30,1.0,0.0,0.0,causal_edge|session_sin|price_return|1,0,trained,horizon_expired
2.7379912764263484e-05,0.010000000000005116,0.07443609022538362,457.39774000000006,0.8571,30,1.0,0.0,0.0,causal_edge|session_sin|price_return|1,0,trained,horizon_expired
0.0,0.010000000000005116,2.1759384850519776e-13,96.77441999999999,0.8571,30,0.0,0.0,1.0,causal_edge|session_sin|price_return|1,0,trained,horizon_expired
4.829362672858948e-05,0.010000000000005116,0.062406015037797274,92.88156000000002,0.8571,30,1.0,0.0,0.0,causal_edge|session_sin|price_return|1,0,trained,horizon_expired
0.0,0.009999999999990905,1.8457579384961516e-13,218.62232,0.8571,30,1.0,0.0,0.0,causal_edge|session_sin|price_return|1,0,trained,horizon_expired
0.0,0.009999999999990905,2.1711219443130635e-13,171.87918,0.8571,30,0.0,0.0,1.0,causal_edge|session_sin|price_return|1,0,trained,horizon_expired
0.0,0.009999999999990905,2.1711219443130635e-13,290.95342,0.8571,30,0.0,0.0,1.0,causal_edge|session_sin|price_return|1,0,trained,horizon_expired
2.7389988169145596e-05,0.010000000000005116,0.06315789473692264,542.36196,0.8571,30,1.0,0.0,0.0,causal_edge|session_sin|price_return|1,1,trained,horizon_expired
